block,tick_lower_transformed,tick_upper_transformed,amount0_usd,amount1_usd,amount_usd_total,token1Price,pool_totalValueLockedUSD_at_block,feesUSD_real
12639864,43.95707046716367,44.00104732358831,0.0,3074.809326171875,3074.8093424158506,44.26044,497013.0256323223,4.005352
12639864,44.00104732358831,44.045068176664245,0.0,3076.34716796875,3076.3470545987425,44.26044,497013.0256323223,4.005352
12639864,44.045068176664245,44.089133070407925,0.0,3077.885498046875,3077.8855357915127,44.26044,497013.0256323223,4.005352
12639864,44.089133070407925,44.13324204887983,0.0,3079.4248046875,3079.4247863787423,44.26044,497013.0256323223,4.005352
12639864,44.13324204887983,44.17739515618455,0.0,3080.96484375,3080.964806745206,44.26044,497013.0256323223,4.005352
12639864,44.17739515618455,44.22159243647077,0.0,3093.76025390625,3093.7602024493517,44.26044,497013.0256323223,4.005352
12639864,44.22159243647077,44.26583393393136,377.2332967431804,2718.051025390625,3095.284408842137,44.26044,497013.0256323223,4.005352
12639864,44.26583393393136,44.310119692803234,3094.930260316269,0.0,3094.930260316269,44.26044,497013.0256323223,4.005352
12639864,44.310119692803234,44.354449757368045,3093.383259317349,0.0,3093.383259317349,44.26044,497013.0256323223,4.005352
12639864,44.354449757368045,44.39882417195127,3091.837031586933,0.0,3091.837031586933,44.26044,497013.0256323223,4.005352
12639864,44.39882417195127,44.44324298092289,3090.291576738501,0.0,3090.291576738501,44.26044,497013.0256323223,4.005352
12639864,44.44324298092289,44.532213959733234,6613.297624640162,0.0,6613.297624640162,44.26044,497013.0256323223,4.005352
12639864,44.532213959733234,44.7106906072266,13206.556326177391,0.0,13206.556326177391,44.26044,497013.0256323223,4.005352
12639864,44.7106906072266,44.934792643582846,16474.458648321906,0.0,16474.458648321906,44.26044,497013.0256323223,4.005352
12639864,44.934792643582846,44.97974766227624,3289.9525212944945,0.0,3289.9525212944945,44.26044,497013.0256323223,4.005352
12639864,44.97974766227624,45.06979267042006,6751.928326881006,0.0,6751.928326881006,44.26044,497013.0256323223,4.005352
12639864,45.06979267042006,45.1148827499065,3373.4331606565825,0.0,3373.4331606565825,44.26044,497013.0256323223,4.005352
12639864,45.1148827499065,45.25042383118631,10110.185588857918,0.0,10110.185588857918,44.26044,497013.0256323223,4.005352
12639864,45.25042383118631,45.29569462313922,3361.435476428804,0.0,3361.435476428804,44.26044,497013.0256323223,4.005352
12639864,45.29569462313922,45.34101070626138,3359.755262788284,0.0,3359.755262788284,44.26044,497013.0256323223,4.005352
12639864,45.34101070626138,45.52272885735378,13422.235705549116,0.0,13422.235705549116,44.26044,497013.0256323223,4.005352
